Title,Date,Status,Abstract,Specifications,IPR,Link,Technical Areas
3D PDF Consortium,7/22/2015(Last Updated: 07/22/2015),Active,"The 3D PDF Consortium supported ISO 32000-2, PDF/E-2, and the PRC data format as open standards for exchanging, visualizing, archiving and retrieving 3D and other engineering data (Merged with PDF Association 2021).",,"Section 12.4 ""Proprietary Rights"" ",https://www.pdfa.org/3d-pdf-at-the-pdf-association/?highlight=%223d%20pdf%22,"['Imaging', 'Interoperability', 'Software']"
Accellera Systems Initiative,7/22/2015(Last Updated: 07/22/2015),Active,Accellera Systems Initiative is a standards organization that supports a mix of user and vendor standards and open interfaces development in the area of electronic design automation and IC design and manufacturing. Accellera was founded in 2000 from the merger of Open Verilog International and VHDL International.,http://www.accellera.org/activities/ ,http://www.accellera.org/about/policies/accellera_systems_initiative_ipr_policy_january_22_2013_final.pdf ,http://www.accellera.org/home,"['Electronics', 'Industry Categories', 'Information and Communication Technology', 'Manufacturing', 'Wireless and Mobile']"
Advanced Distributed Learning (ADL),7/29/2015(Last Updated: 07/29/2015),Active,"Advanced Distributed Learning (ADL) is the product of the ADL Initiative, established in 1997 to standardize and modernize training and education management and delivery. The purpose of the ADL Initiative is to provide access to learning and performance aids that can be tailored to individual needs and delivered cost-effectively. The ADL Initiative maintains SCORM, a collection of standards and specifications for web-based e-learning, and the ADL Registry, a central search point for the discovery of digital objects related to DoD training, education, performance, and decision. The Department of Defense (DoD) Office of the Under Secretary of Defense for Personnel and Readiness (OUSD P&R) oversees the ADL Initiative.",http://www.adlnet.gov/resources/#tab-technical-documentation ,,http://www.adlnet.org/,"['Defense', 'Digital and Distance Learning', 'Educational Associations', 'Industry Categories', 'Interoperability', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories']"
African Regional Organization for Standardization (ARSO),12/02/2015(Last Updated: 12/02/2015),Active,ARSO is an African inter-governmental organization  promoting standardization activities in Africa. The program is designed towards removal of technical barriers that hinder intra-Africa   trade and integration. The technical work is concerned with the operation of activities in the following fields: preparation and issuance of   African regional standards; quality assurance activities; African regional accreditation and certification marking schemes (ARAS); metrology;   laboratory testing; technical information and consultancy services in standardization; and international liaison and participation.,http://www.arso-oran.org/wp-content/uploads/2012/09/arso-catalogue-of-standards-1992.pdf ,,http://www.arso-oran.org/,"['Africa', 'Interoperability', 'Other Categories', 'Promotional & Trade Associations', 'Select by Geography', 'Technical Categories']"
Alliance for Telecommunications Industry Solutions (ATIS),7/29/2015(Last Updated: 07/29/2015),Active,"The Alliance for Telecommunications Industry Solutions (ATIS) is a North American standards body developing telecommunications standards, operating procedures and guidelines. ATIS member companies are North American providers of telecommunications services, and include wireline and wireless service providers, competitive local carriers, interexchange companies, local exchange companies, manufacturers, software developers, resellers, enhanced service providers, and providers of operations support. ",https://www.atis.org/docstore/default.aspx ,See Section 10.http://www.atis.org/legal/docs/op/atisop.pdf ,http://www.atis.org/,"['Americas', 'Industry Categories', 'Interoperability', 'Other Categories', 'Promotional & Trade Associations', 'Select by Geography', 'Technical Categories', 'Telecom']"
American Society for Photogrammetry and Remote Sensing (ASPRS),7/29/2015(Last Updated: 07/29/2015),Active,"The American Society for Photogrammetry and Remote Sensing (ASPRS) is the United States member organization of the International Society for Photogrammetry and Remote Sensing. Founded in 1934, the society is a professional body and scientific association with oversight of specialists in the arts of imagery exploitation and photographic cartography. The mission of the ASPRS is to advance knowledge and improve understanding of mapping sciences and to promote the responsible applications of photogrammetry, remote sensing, geographic information systems (GIS), and supporting technologies.",http://www.asprs.org/standards-activities.html ,http://www.asprs.org/a/society/committees/standards/asprs_guidelines_policy.pdf ,http://www.asprs.org/,"['Educational Associations', 'Imaging', 'Natural and Environmental Sciences', 'Software']"
App Configuration for Enterprise (ACE),1/20/2016(Last Updated: 01/20/2016),Active,The ACE community provides instruction to assist in developing a set of guidelines that requires minimal effort for developers while eliminating scalability issues associated with SDKs and App Wrapping technology.,,,http://www.appconfigforenterprise.org/,"['Internet of Things', 'Technical Categories']"
Association for Automatic Identification and Mobility (AIM),7/29/2015(Last Updated: 07/29/2015),Active,"The Association for Automatic Identification and Mobility (AIM) is a trade association promoting the growth and use of AIDC technologies and services around the world. AIM's goals include: providing guidance and support to evolving RFID, bar code, and major application standards efforts; tracking other related or new technology initiatives that might impact the AIDC Industry; working within such groups as SC31, SC31 Work Groups, DoD, and MIT; and maintaining a Standards Advisory Group to assist in highlighting key technology and application standards activity. Members include providers of components, networks, systems, and services that manage the collection and integration of data with information management systems.",https://aimglobal.site-ym.com/store/list_products.asp?catid=172566 ,,http://www.aimglobal.org/,"['Information and Communication Technology', 'Other Categories', 'Promotional & Trade Associations', 'Technical Categories', 'Wireless and Mobile']"
Association of International Certified Professional Accountants (AICPA),7/08/2022(Last Updated: 07/08/2022),Active,"The American Institute of CPAs (AICPA) is a global, non-profit organization of Certified Public Accountants in the United States. It was established in 1887, and its role is to create and grade the Certified Public Accountant (CPA) examinations. Individuals seeking to practice as accountants in the United States must pass the CPA examination. AICPA was the first organization to create the original financial accounting standards under GAAP before handing over the role to the Financial Accounting Standards Board (FASB).",,,www.aicpa.org,"['Americas', 'Financial Services']"
Australian Communications Industry Forum (ACIF),7/29/2015(Last Updated: 07/29/2015),Inactive,"The Australian Communications Industry Forum (ACIF) developed and administered technical and operating arrangements to foster growth in the communications industry. *Merged with Service Providers Association, Inc. to form Communications Alliance LTD",,,,"['Australia/Oceania', 'De Jure Standards Development Organizations', 'Industry Categories', 'National', 'Other Categories', 'Promotional & Trade Associations', 'Select by Geography', 'Telecom']"
